"Test Results for Recipe KI35 | USPs on PLPs | ALL | CRO-6718"
"Export Date","2026-03-02 17:02:50 UTC+00:00"
"Report Date Range","2026-02-04 07:25:22 UTC+00:00 - 2026-03-02 23:59:59 UTC+00:00"
"Test Type","A/B test"
"Started on","2026-02-04 07:25:22 UTC+00:00"
"Report Segment","All Experience's visitors"
"Order Value Outlier Processing",none
"Products Count Outlier Processing",none

Timestamp,"Variation Id",Event,"Goal Ids",Revenue,"Products Ordered",Browser,Country
1772440726586,1004436128,conversion,1004106427,,,chrome,ZA
1772440661955,1004436127,conversion,1004106427,,,chrome,ZA
1772440633097,1004436128,conversion,1004106427,,,chrome,ZA
1772440530227,1004436128,conversion,1004106427,,,safari,ZA
1772440047165,1004436127,conversion,1004106427,,,edge,ZA
1772440040242,1004436127,conversion,1004106427,,,chrome,ZA
1772439261893,1004436127,conversion,1004106427,,,chrome,ZA
1772438869316,1004436127,conversion,1004106427,,,chrome,ZA
1772438024426,1004436128,conversion,1004106427,,,chrome,ZA
1772437946695,1004436127,conversion,1004106427,,,safari,ZA
1772437823779,1004436127,conversion,1004106427,,,chrome,ZA
1772437805170,1004436127,conversion,1004106427,,,edge,ZA
1772437272350,1004436127,conversion,1004106427,,,chrome,ZA
1772436986569,1004436128,conversion,1004106427,,,edge,ZA
1772436786732,1004436128,conversion,1004106427,,,safari,ZA
1772436711078,1004436127,conversion,1004106427,,,chrome,ZA
1772436710154,1004436128,conversion,1004106427,,,chrome,ZA
1772436386102,1004436127,conversion,1004106427,,,chrome,ZA
1772436121522,1004436128,conversion,1004106427,,,edge,ZA
1772435445223,1004436128,conversion,1004106427,,,safari,ZA
1772435103842,1004436127,conversion,1004106427,,,chrome,ZA
1772435021108,1004436127,conversion,1004106427,,,chrome,ZA
1772434897412,1004436127,conversion,1004106427,,,chrome,ZA
1772434186174,1004436127,conversion,1004106427,,,safari,ZA
1772433943332,1004436128,conversion,1004106427,,,chrome,ZA
1772433832443,1004436128,conversion,1004106427,,,safari,ZA
1772432866541,1004436127,conversion,1004106427,,,safari,ZA
1772431585248,1004436127,conversion,1004106427,,,safari,ZA
1772431507192,1004436128,conversion,1004106427,,,safari,ZA
1772430934200,1004436127,conversion,1004106427,,,safari,ZA
1772429957841,1004436128,conversion,1004106427,,,edge,ZA
1772429095926,1004436127,conversion,1004106427,,,safari,ZA
1772428279591,1004436128,conversion,1004106427,,,safari,ZA
1772428071806,1004436128,conversion,1004106427,,,safari,ZA
1772425938257,1004436127,conversion,1004106427,,,safari,ZA
1772424952080,1004436128,conversion,1004106427,,,safari,ZA
1772424526216,1004436127,conversion,1004106427,,,chrome,ZA
1772423218781,1004436128,conversion,1004106427,,,chrome,ZA
1772421698012,1004436128,conversion,1004106427,,,safari,ZA
1772410398033,1004436128,conversion,1004106427,,,chrome,ZA
1772402755081,1004436127,conversion,1004106427,,,safari,ZA
1772397664599,1004436127,conversion,1004106427,,,safari,ZA
1772397096329,1004436127,conversion,1004106427,,,chrome,ZA
1772396143295,1004436128,conversion,1004106427,,,safari,ZA
1772394434128,1004436128,conversion,1004106427,,,safari,ZA
1772394380111,1004436127,conversion,1004106427,,,safari,ZA
1772394297561,1004436128,conversion,1004106427,,,chrome,ZA
1772393985058,1004436127,conversion,1004106427,,,chrome,ZA
1772393891704,1004436128,conversion,1004106427,,,safari,ZA
1772392941923,1004436127,conversion,1004106427,,,chrome,ZA
1772392939423,1004436127,conversion,1004106427,,,chrome,ZA
1772392931109,1004436128,conversion,1004106427,,,safari,ZA
1772391678748,1004436128,conversion,1004106427,,,safari,ZA
1772391343513,1004436128,conversion,1004106427,,,safari,GB
1772391227092,1004436127,conversion,1004106427,,,safari,ZA
1772391102603,1004436127,conversion,1004106427,,,safari,ZA
1772390221852,1004436128,conversion,1004106427,,,safari,ZA
1772388732255,1004436128,conversion,1004106427,,,safari,ZA
1772388445333,1004436128,conversion,1004106427,,,safari,ZA
1772388342011,1004436127,conversion,1004106427,,,safari,ZA
1772388169441,1004436127,conversion,1004106427,,,safari,ZA
1772387369748,1004436127,conversion,1004106427,,,chrome,ZA
1772387218147,1004436127,conversion,1004106427,,,chrome,ZA
1772387209851,1004436128,conversion,1004106427,,,safari,ZA
1772387083203,1004436127,conversion,1004106427,,,safari,ZA
1772386913926,1004436127,conversion,1004106427,,,safari,ZA
1772386913376,1004436127,conversion,1004106427,,,safari,ZA
1772385981840,1004436128,conversion,1004106427,,,safari,ZA
1772384467009,1004436128,conversion,1004106427,,,safari,ZA
1772383587283,1004436128,conversion,1004106427,,,safari,ZA
1772382968723,1004436128,conversion,1004106427,,,chrome,ZA
1772382693176,1004436128,conversion,1004106427,,,safari,ZA
1772382010422,1004436128,conversion,1004106427,,,edge,ZA
1772381916020,1004436128,conversion,1004106427,,,chrome,ZA
1772381760937,1004436127,conversion,1004106427,,,chrome,ZA
1772381545332,1004436128,conversion,1004106427,,,chrome,ZA
1772381531997,1004436128,conversion,1004106427,,,safari,ZA
1772381194625,1004436127,conversion,1004106427,,,chrome,ZA
1772380476595,1004436128,conversion,1004106427,,,chrome,ZA
1772379925970,1004436128,conversion,1004106427,,,safari,ZA
1772379190502,1004436128,conversion,1004106427,,,safari,ZA
1772378825971,1004436128,conversion,1004106427,,,chrome,ZA
1772378603747,1004436127,conversion,1004106427,,,chrome,ZA
1772377882475,1004436128,conversion,1004106427,,,chrome,IE
1772377632807,1004436128,conversion,1004106427,,,safari,ZA
1772377516509,1004436127,conversion,1004106427,,,chrome,ZA
1772377355208,1004436127,conversion,1004106427,,,chrome,ZA
1772377130883,1004436127,conversion,1004106427,,,safari,ZA
1772376901003,1004436128,conversion,1004106427,,,safari,ZA
1772376771136,1004436128,conversion,1004106427,,,safari,ZA
1772376523427,1004436127,conversion,1004106427,,,safari,ZA
1772376322802,1004436127,conversion,1004106427,,,safari,ZA
1772376126409,1004436127,conversion,1004106427,,,chrome,ZA
1772375321379,1004436128,conversion,1004106427,,,chrome,ZA
1772375121418,1004436128,conversion,1004106427,,,chrome,ZA
1772375009299,1004436127,conversion,1004106427,,,chrome,ZA
1772374893772,1004436128,conversion,1004106427,,,safari,ZA
1772374855966,1004436128,conversion,1004106427,,,chrome,ZA
1772373257266,1004436127,conversion,1004106427,,,safari,ZA
1772373148149,1004436128,conversion,1004106427,,,safari,ZA
1772373015672,1004436128,conversion,1004106427,,,chrome,ZA
1772373000542,1004436128,conversion,1004106427,,,safari,ZA
1772372684517,1004436127,conversion,1004106427,,,chrome,ZA
1772372197829,1004436127,conversion,1004106427,,,chrome,ZA
1772372155667,1004436128,conversion,1004106427,,,chrome,ZA
1772371696753,1004436128,conversion,1004106427,,,chrome,ZA
1772371182083,1004436127,conversion,1004106427,,,safari,ZA
1772370497106,1004436127,conversion,1004106427,,,safari,ZA
1772370261235,1004436128,conversion,1004106427,,,safari,ZA
1772370162278,1004436128,conversion,1004106427,,,chrome,ZA
1772366930635,1004436127,conversion,1004106427,,,safari,ZA
1772366805335,1004436127,conversion,1004106427,,,safari,ZA
1772366322577,1004436127,conversion,1004106427,,,chrome,ZA
1772365582673,1004436127,conversion,1004106427,,,safari,ZA
1772365165234,1004436128,conversion,1004106427,,,chrome,ZA
1772364862922,1004436127,conversion,1004106427,,,safari,DE
1772364753236,1004436127,conversion,1004106427,,,chrome,ZA
1772364072534,1004436127,conversion,1004106427,,,chrome,ZA
1772364068027,1004436127,conversion,1004106427,,,safari,ZA
1772363220155,1004436128,conversion,1004106427,,,safari,ZA
1772361885082,1004436128,conversion,1004106427,,,safari,ZA
1772361438066,1004436128,conversion,1004106427,,,safari,ZA
1772361274601,1004436127,conversion,1004106427,,,safari,ZA
1772360378710,1004436128,conversion,1004106427,,,chrome,ZA
1772360169665,1004436128,conversion,1004106427,,,safari,ZA
1772360136339,1004436127,conversion,1004106427,,,safari,ZA
1772359332456,1004436127,conversion,1004106427,,,safari,ZA
1772357568914,1004436127,conversion,1004106427,,,chrome,ZA
1772357019258,1004436128,conversion,1004106427,,,chrome,ZA
1772356320794,1004436127,conversion,1004106427,,,safari,ZA
1772356067795,1004436127,conversion,1004106427,,,chrome,ZA
1772354932700,1004436128,conversion,1004106427,,,chrome,ZA
1772354793705,1004436128,conversion,1004106427,,,safari,ZA
1772354576706,1004436127,conversion,1004106427,,,safari,DE
1772354363004,1004436128,conversion,1004106427,,,safari,ZA
1772354132296,1004436127,conversion,1004106427,,,chrome,ZA
1772353603371,1004436127,conversion,1004106427,,,chrome,ZA
1772353341896,1004436127,conversion,1004106427,,,chrome,ZA
1772352026700,1004436128,conversion,1004106427,,,safari,ZA
1772351996488,1004436127,conversion,1004106427,,,chrome,NL
1772351980023,1004436128,conversion,1004106427,,,safari,ZA
1772351178715,1004436128,conversion,1004106427,,,safari,ZA
1772348932720,1004436128,conversion,1004106427,,,chrome,ZA
1772348750575,1004436128,conversion,1004106427,,,chrome,ZA
1772348680743,1004436127,conversion,1004106427,,,chrome,ZA
1772347629618,1004436127,conversion,1004106427,,,safari,ZA
1772347042358,1004436128,conversion,1004106427,,,safari,ZA
1772346562856,1004436128,conversion,1004106427,,,safari,ZA
1772344656271,1004436128,conversion,1004106427,,,chrome,ZA
1772341527359,1004436128,conversion,1004106427,,,safari,ZA
1772340786693,1004436127,conversion,1004106427,,,chrome,ZA
1772336870868,1004436128,conversion,1004106427,,,safari,ZA
1772319585287,1004436127,conversion,1004106427,,,chrome,ZA
1772313187718,1004436127,conversion,1004106427,,,safari,ZA
1772306533460,1004436128,conversion,1004106427,,,safari,ZA
1772303688851,1004436128,conversion,1004106427,,,safari,ZA
1772302166086,1004436128,conversion,1004106427,,,safari,ZA
1772301923417,1004436127,conversion,1004106427,,,safari,ZA
1772301217698,1004436128,conversion,1004106427,,,chrome,ZA
1772298945181,1004436127,conversion,1004106427,,,safari,ZA
1772292180878,1004436128,conversion,1004106427,,,chrome,ZA
1772291943614,1004436128,conversion,1004106427,,,chrome,ZA
1772290607636,1004436127,conversion,1004106427,,,chrome,ZA
1772290554279,1004436127,conversion,1004106427,,,chrome,ZA
1772289327767,1004436127,conversion,1004106427,,,safari,ZA
1772289028313,1004436128,conversion,1004106427,,,safari,ZA
1772287997150,1004436128,conversion,1004106427,,,chrome,ZA
1772287782911,1004436127,conversion,1004106427,,,chrome,ZA
1772287529990,1004436127,conversion,1004106427,,,chrome,ZA
1772286805945,1004436127,conversion,1004106427,,,safari,ZA
1772286542896,1004436128,conversion,1004106427,,,safari,ZA
1772285025963,1004436127,conversion,1004106427,,,safari,ZA
1772282680476,1004436128,conversion,1004106427,,,chrome,ZA
1772282238180,1004436127,conversion,1004106427,,,safari,ZA
1772282142886,1004436128,conversion,1004106427,,,safari,NL
1772281578401,1004436127,conversion,1004106427,,,safari,ZA
1772281134738,1004436127,conversion,1004106427,,,safari,ZA
1772280721696,1004436128,conversion,1004106427,,,safari,ZA
1772279671047,1004436127,conversion,1004106427,,,chrome,ZA
1772279536168,1004436128,conversion,1004106427,,,safari,ZA
1772279380497,1004436127,conversion,1004106427,,,chrome,ZA
1772279018688,1004436127,conversion,1004106427,,,chrome,ZA
1772278953486,1004436128,conversion,1004106427,,,safari,NG
1772278879983,1004436127,conversion,1004106427,,,safari,ZA
1772277405163,1004436128,conversion,1004106427,,,safari,ZA
1772276594570,1004436128,conversion,1004106427,,,chrome,ZA
1772276115125,1004436127,conversion,1004106427,,,chrome,ZA
1772275605033,1004436127,conversion,1004106427,,,safari,ZA
1772274749208,1004436127,conversion,1004106427,,,chrome,ZA
1772274422918,1004436128,conversion,1004106427,,,safari,ZA
1772273733439,1004436128,conversion,1004106427,,,safari,ZA
1772273394997,1004436128,conversion,1004106427,,,chrome,ZA
1772271902130,1004436128,conversion,1004106427,,,chrome,ZA
1772271432091,1004436127,conversion,1004106427,,,chrome,ZA
1772271273718,1004436128,conversion,1004106427,,,safari,ZA
1772271142200,1004436127,conversion,1004106427,,,chrome,ZA
1772271010561,1004436128,conversion,1004106427,,,chrome,ZA
1772270524500,1004436127,conversion,1004106427,,,safari,ZA
1772269247169,1004436127,conversion,1004106427,,,safari,ZA
1772268303374,1004436128,conversion,1004106427,,,safari,ZA
1772268197840,1004436127,conversion,1004106427,,,safari,DE
1772268041863,1004436128,conversion,1004106427,,,edge,GB
1772267651162,1004436128,conversion,1004106427,,,chrome,ZA
1772267445745,1004436128,conversion,1004106427,,,safari,ZA
1772266852548,1004436128,conversion,1004106427,,,safari,ZA
1772266718714,1004436128,conversion,1004106427,,,safari,ZA
1772265908516,1004436127,conversion,1004106427,,,safari,ZA
1772265259764,1004436127,conversion,1004106427,,,chrome,ZM
1772265084758,1004436128,conversion,1004106427,,,chrome,ZA
1772264924823,1004436127,conversion,1004106427,,,safari,ZA
1772264743867,1004436127,conversion,1004106427,,,chrome,ZA
1772264056424,1004436128,conversion,1004106427,,,safari,ZA
1772262928168,1004436127,conversion,1004106427,,,chrome,ZA
1772262568705,1004436127,conversion,1004106427,,,safari,ZA
1772262034640,1004436127,conversion,1004106427,,,chrome,ZA
1772261832538,1004436127,conversion,1004106427,,,safari,ZA
1772260864681,1004436128,conversion,1004106427,,,chrome,ZA
1772260208251,1004436127,conversion,1004106427,,,safari,ZA
1772260122540,1004436127,conversion,1004106427,,,safari,ZA
1772259318569,1004436128,conversion,1004106427,,,safari,ZA
1772258483813,1004436127,conversion,1004106427,,,chrome,ZA
1772257867081,1004436127,conversion,1004106427,,,safari,ZA
1772257710379,1004436127,conversion,1004106427,,,safari,ZA
1772255633554,1004436128,conversion,1004106427,,,chrome,ZA
1772255239978,1004436127,conversion,1004106427,,,chrome,ZA
1772255231274,1004436128,conversion,1004106427,,,safari,ZA
1772247805710,1004436127,conversion,1004106427,,,chrome,ZA
1772238726320,1004436127,conversion,1004106427,,,chrome,ZA
1772234857120,1004436127,conversion,1004106427,,,chrome,US
1772230382201,1004436127,conversion,1004106427,,,chrome,AT
1772229110810,1004436128,conversion,1004106427,,,safari,ZA
1772225137158,1004436127,conversion,1004106427,,,safari,ZA
1772222760590,1004436127,conversion,1004106427,,,chrome,ZA
1772222483210,1004436128,conversion,1004106427,,,safari,ZA
1772222192327,1004436128,conversion,1004106427,,,chrome,ZA
1772221619234,1004436128,conversion,1004106427,,,chrome,ZA
1772221263202,1004436128,conversion,1004106427,,,safari,ZA
1772217440934,1004436128,conversion,1004106427,,,chrome,US
